id;lat;lon;utm_x_m;utm_y_m;depth_m;elev_m;year;month;day;hour;minute;second;rms_error;ml_mag;mw_mag;remarks
2889;-1.65002059;101.1319145;737186.012;9817495.536;649.716;-649.716;2023;4;4;21;21;54.919304;0.0198694;-0.045;0.017;
2890;-1.643746633;101.1485525;739038.69;9818187.5;1267.614;-1267.614;2023;4;4;21;22;3.75243;0.0136453;-0.597;-0.524;
2891;-1.645639974;101.1394635;738026.786;9817979.167;898.295;-898.295;2023;4;7;6;28;12.24458;0.0182824;0.058;-0.028;
2892;-1.604636225;101.1106767;734827.381;9822517.857;5401.136;-5401.136;2023;4;13;0;27;12.292868;0.031357;0.944;0.443;
2893;-1.692056583;101.1383104;737892.857;9812845.238;-252.273;252.273;2023;4;14;3;58;7.132033;0.16795;0.973;0.234;
2894;-1.596415589;101.1239037;736300.595;9823425.595;-152.841;152.841;2023;4;14;5;51;20.671008;0.0165574;0.069;0.002;
2895;-1.603611093;101.126117;736546.131;9822629.464;820.17;-820.17;2023;4;14;5;51;25.778356;0.0131067;-0.122;-0.057;
2896;-1.580940766;101.1266954;736613.095;9825136.905;4264.773;-4264.773;2023;4;18;3;36;9.832331;0.0309914;0.697;0.213;
2897;-1.64453407;101.1667353;741062.5;9818098.214;-522.159;522.159;2023;5;6;6;37;13.791865;0.0215666;-0.058;-0.543;
2898;-1.63883512;101.1494162;739135.417;9818730.655;1402.557;-1402.557;2023;5;15;17;26;39.807042;0.0171264;-0.272;-0.311;
2899;-1.639164884;101.1554995;739812.5;9818693.452;1068.75;-1068.75;2023;5;15;17;32;30.385853;0.0282404;-0.293;-0.32;
2900;-1.649674062;101.1413395;738235.119;9817532.738;671.023;-671.023;2023;5;19;22;49;48.485038;0.0541934;0.168;-0.021;
2901;-1.639168069;101.1525583;739485.119;9818693.452;1097.159;-1097.159;2023;5;19;22;54;49.088707;0.0227599;-0.621;-0.363;
2902;-1.641259805;101.1466113;738822.917;9818462.798;1359.943;-1359.943;2023;5;19;22;54;53.54291;0.0125268;-0.295;-0.174;
2903;-1.603427445;101.1086701;734604.167;9822651.786;5784.659;-5784.659;2023;5;25;3;57;55.114489;0.0296198;1.771;1.06;
2904;-1.604228575;101.1145534;735258.929;9822562.5;4903.977;-4903.977;2023;5;25;3;58;41.48359;0.0443407;0.544;0.296;
2905;-1.648713847;101.1583173;740125;9817636.905;685.227;-685.227;2023;5;27;15;41;23.889188;0.0365278;-0.589;-0.784;
2906;-1.65129776;101.1327848;737282.738;9817354.167;813.068;-813.068;2023;5;27;15;42;8.549701;0.03107;-0.084;-0.187;
2907;-1.631926052;101.13116;737104.167;9819497.024;2432.386;-2432.386;2023;5;28;12;27;6.94883;0.00482645;-0.4;-0.059;
2908;-1.632012762;101.144429;738581.101;9819485.863;141.903;-141.903;2023;5;28;18;49;16.179327;0.00376021;-0.576;-0.294;
2909;-1.670255417;101.1439018;738517.857;9815255.952;912.5;-912.5;2023;6;2;17;52;27.490901;0.0593877;0.575;0.177;
2910;-1.64350919;101.1191398;735764.881;9818217.262;813.068;-813.068;2023;6;6;1;40;44.034952;0.0104918;-0.592;-0.16;
2911;-1.641951484;101.1289647;736858.631;9818388.393;280.398;-280.398;2023;6;6;1;42;24.72784;0.0143194;-0.029;-0.23;
2912;-1.644827269;101.1445429;738592.262;9818068.452;1466.477;-1466.477;2023;6;6;1;48;22.257453;0.0152994;-0.166;-0.235;
2913;-1.643766815;101.1298356;736955.357;9818187.5;1239.205;-1239.205;2023;6;6;1;48;43.038793;0.018953;-0.275;-0.271;
